,start,end,values
0,1577833200,1577836800,195
1,1577836800,1577840400,203
2,1577840400,1577844000,203
3,1577844000,1577847600,201
4,1577847600,1577851200,200
5,1577851200,1577854800,200
6,1577854800,1577858400,200
7,1577858400,1577862000,200
8,1577862000,1577865600,200
9,1577865600,1577869200,200
10,1577869200,1577872800,203
11,1577872800,1577876400,204
12,1577876400,1577880000,204
13,1577880000,1577883600,204
14,1577883600,1577887200,204
15,1577887200,1577890800,204
16,1577890800,1577894400,204
17,1577894400,1577898000,204
18,1577898000,1577901600,204
19,1577901600,1577905200,204
20,1577905200,1577908800,204
21,1577908800,1577912400,203
22,1577912400,1577916000,203
23,1577916000,1577919600,203
24,1577919600,1577923200,203
25,1577923200,1577926800,203
26,1577926800,1577930400,203
27,1577930400,1577934000,201
28,1577934000,1577937600,200
29,1577937600,1577941200,200
30,1577941200,1577944800,203
31,1577944800,1577948400,204
32,1577948400,1577952000,204
33,1577952000,1577955600,204
34,1577955600,1577959200,203
35,1577959200,1577962800,204
36,1577962800,1577966400,204
37,1577966400,1577970000,204
38,1577970000,1577973600,204
39,1577973600,1577977200,204
40,1577977200,1577980800,204
41,1577980800,1577984400,204
42,1577984400,1577988000,204
43,1577988000,1577991600,204
44,1577991600,1577995200,203
45,1577995200,1577998800,204
46,1577998800,1578002400,203
47,1578002400,1578006000,203
48,1578006000,1578009600,203
49,1578009600,1578013200,200
50,1578013200,1578016800,200
51,1578016800,1578020400,201
52,1578020400,1578024000,201
53,1578024000,1578027600,201
54,1578027600,1578031200,203
55,1578031200,1578034800,203
56,1578034800,1578038400,204
57,1578038400,1578042000,204
58,1578042000,1578045600,204
59,1578045600,1578049200,204
60,1578049200,1578052800,204
61,1578052800,1578056400,204
62,1578056400,1578060000,204
63,1578060000,1578063600,203
64,1578063600,1578067200,204
65,1578067200,1578070800,204
66,1578070800,1578074400,204
67,1578074400,1578078000,204
68,1578078000,1578081600,203
69,1578081600,1578085200,204
70,1578085200,1578088800,203
71,1578088800,1578092400,203
72,1578092400,1578096000,201
73,1578096000,1578099600,201
74,1578099600,1578103200,202
75,1578103200,1578106800,202
76,1578106800,1578110400,202
77,1578110400,1578114000,201
78,1578114000,1578117600,202
79,1578117600,1578121200,201
80,1578121200,1578124800,201
81,1578124800,1578128400,201
82,1578128400,1578132000,201
83,1578132000,1578135600,201
84,1578135600,1578139200,202
85,1578139200,1578142800,201
86,1578142800,1578146400,202
87,1578146400,1578150000,202
88,1578150000,1578153600,201
89,1578153600,1578157200,202
90,1578157200,1578160800,202
91,1578160800,1578164400,202
92,1578164400,1578168000,202
93,1578168000,1578171600,202
94,1578171600,1578175200,202
95,1578175200,1578178800,201
96,1578178800,1578182400,201
97,1578182400,1578186000,202
98,1578186000,1578189600,201
99,1578189600,1578193200,201
100,1578193200,1578196800,201
101,1578196800,1578200400,201
102,1578200400,1578204000,202
103,1578204000,1578207600,202
104,1578207600,1578211200,202
105,1578211200,1578214800,201
106,1578214800,1578218400,201
107,1578218400,1578222000,202
108,1578222000,1578225600,202
109,1578225600,1578229200,202
110,1578229200,1578232800,202
111,1578232800,1578236400,202
112,1578236400,1578240000,202
113,1578240000,1578243600,202
114,1578243600,1578247200,202
115,1578247200,1578250800,202
116,1578250800,1578254400,201
117,1578254400,1578258000,201
118,1578258000,1578261600,201
119,1578261600,1578265200,201
120,1578265200,1578268800,201
121,1578268800,1578272400,201
122,1578272400,1578276000,201
123,1578276000,1578279600,198
124,1578279600,1578283200,198
125,1578283200,1578286800,199
126,1578286800,1578290400,202
127,1578290400,1578294000,201
128,1578294000,1578297600,488
129,1578297600,1578301200,811
130,1578301200,1578304800,814
131,1578304800,1578308400,288
132,1578308400,1578312000,201
133,1578312000,1578315600,202
134,1578315600,1578319200,202
135,1578319200,1578322800,202
136,1578322800,1578326400,202
137,1578326400,1578330000,201
138,1578330000,1578333600,202
139,1578333600,1578337200,201
140,1578337200,1578340800,201
141,1578340800,1578344400,201
142,1578344400,1578348000,201
143,1578348000,1578351600,201
144,1578351600,1578355200,201
145,1578355200,1578358800,200
146,1578358800,1578362400,200
147,1578362400,1578366000,197
148,1578366000,1578369600,197
149,1578369600,1578373200,197
150,1578373200,1578376800,200
151,1578376800,1578380400,200
152,1578380400,1578384000,201
153,1578384000,1578387600,201
154,1578387600,1578391200,201
155,1578391200,1578394800,200
156,1578394800,1578398400,201
157,1578398400,1578402000,201
158,1578402000,1578405600,201
159,1578405600,1578409200,201
160,1578409200,1578412800,201
161,1578412800,1578416400,201
162,1578416400,1578420000,201
163,1578420000,1578423600,201
164,1578423600,1578427200,201
165,1578427200,1578430800,197
166,1578430800,1578434400,197
167,1578434400,1578438000,197
168,1578438000,1578441600,197
169,1578441600,1578445200,197
170,1578445200,1578448800,198
171,1578448800,1578452400,201
172,1578452400,1578456000,201
173,1578456000,1578459600,200
174,1578459600,1578463200,200
175,1578463200,1578466800,201
176,1578466800,1578470400,201
177,1578470400,1578474000,200
178,1578474000,1578477600,201
179,1578477600,1578481200,201
180,1578481200,1578484800,201
181,1578484800,1578488400,201
182,1578488400,1578492000,201
183,1578492000,1578495600,201
184,1578495600,1578499200,201
185,1578499200,1578502800,201
186,1578502800,1578506400,201
187,1578506400,1578510000,200
188,1578510000,1578513600,200
189,1578513600,1578517200,200
190,1578517200,1578520800,200
191,1578520800,1578524400,200
192,1578524400,1578528000,202
193,1578528000,1578531600,200
194,1578531600,1578535200,200
195,1578535200,1578538800,201
196,1578538800,1578542400,201
197,1578542400,1578546000,201
198,1578546000,1578549600,203
199,1578549600,1578553200,203
200,1578553200,1578556800,202
201,1578556800,1578560400,203
202,1578560400,1578564000,203
203,1578564000,1578567600,202
204,1578567600,1578571200,203
205,1578571200,1578574800,202
206,1578574800,1578578400,203
207,1578578400,1578582000,203
208,1578582000,1578585600,203
209,1578585600,1578589200,203
210,1578589200,1578592800,203
211,1578592800,1578596400,203
212,1578596400,1578600000,203
213,1578600000,1578603600,203
214,1578603600,1578607200,202
215,1578607200,1578610800,202
