,start,end,values
0,1577833200,1577836800,0
1,1577836800,1577840400,0
2,1577840400,1577844000,0
3,1577844000,1577847600,0
4,1577847600,1577851200,0
5,1577851200,1577854800,0
6,1577854800,1577858400,0
7,1577858400,1577862000,0
8,1577862000,1577865600,175
9,1577865600,1577869200,640
10,1577869200,1577872800,1464
11,1577872800,1577876400,2100
12,1577876400,1577880000,2426
13,1577880000,1577883600,2354
14,1577883600,1577887200,1875
15,1577887200,1577890800,1038
16,1577890800,1577894400,330
17,1577894400,1577898000,131
18,1577898000,1577901600,0
19,1577901600,1577905200,0
20,1577905200,1577908800,0
21,1577908800,1577912400,0
22,1577912400,1577916000,0
23,1577916000,1577919600,0
24,1577919600,1577923200,0
25,1577923200,1577926800,0
26,1577926800,1577930400,0
27,1577930400,1577934000,0
28,1577934000,1577937600,0
29,1577937600,1577941200,0
30,1577941200,1577944800,0
31,1577944800,1577948400,0
32,1577948400,1577952000,161
33,1577952000,1577955600,568
34,1577955600,1577959200,1508
35,1577959200,1577962800,2006
36,1577962800,1577966400,2268
37,1577966400,1577970000,2108
38,1577970000,1577973600,1696
39,1577973600,1577977200,1010
40,1577977200,1577980800,392
41,1577980800,1577984400,132
42,1577984400,1577988000,0
43,1577988000,1577991600,0
44,1577991600,1577995200,0
45,1577995200,1577998800,0
46,1577998800,1578002400,0
47,1578002400,1578006000,0
48,1578006000,1578009600,0
49,1578009600,1578013200,0
50,1578013200,1578016800,0
51,1578016800,1578020400,0
52,1578020400,1578024000,0
53,1578024000,1578027600,0
54,1578027600,1578031200,0
55,1578031200,1578034800,0
56,1578034800,1578038400,158
57,1578038400,1578042000,496
58,1578042000,1578045600,1091
59,1578045600,1578049200,1523
60,1578049200,1578052800,1763
61,1578052800,1578056400,1675
62,1578056400,1578060000,1311
63,1578060000,1578063600,753
64,1578063600,1578067200,328
65,1578067200,1578070800,139
66,1578070800,1578074400,0
67,1578074400,1578078000,0
68,1578078000,1578081600,0
69,1578081600,1578085200,0
70,1578085200,1578088800,0
71,1578088800,1578092400,0
72,1578092400,1578096000,0
73,1578096000,1578099600,0
74,1578099600,1578103200,0
75,1578103200,1578106800,0
76,1578106800,1578110400,0
77,1578110400,1578114000,0
78,1578114000,1578117600,0
79,1578117600,1578121200,0
80,1578121200,1578124800,178
81,1578124800,1578128400,652
82,1578128400,1578132000,1497
83,1578132000,1578135600,2269
84,1578135600,1578139200,2734
85,1578139200,1578142800,2680
86,1578142800,1578146400,2284
87,1578146400,1578150000,1465
88,1578150000,1578153600,557
89,1578153600,1578157200,139
90,1578157200,1578160800,0
91,1578160800,1578164400,0
92,1578164400,1578168000,0
93,1578168000,1578171600,0
94,1578171600,1578175200,0
95,1578175200,1578178800,0
96,1578178800,1578182400,0
97,1578182400,1578186000,0
98,1578186000,1578189600,0
99,1578189600,1578193200,0
100,1578193200,1578196800,0
101,1578196800,1578200400,0
102,1578200400,1578204000,0
103,1578204000,1578207600,0
104,1578207600,1578211200,181
105,1578211200,1578214800,820
106,1578214800,1578218400,2067
107,1578218400,1578222000,3045
108,1578222000,1578225600,3506
109,1578225600,1578229200,3504
110,1578229200,1578232800,3056
111,1578232800,1578236400,2032
112,1578236400,1578240000,746
113,1578240000,1578243600,149
114,1578243600,1578247200,0
115,1578247200,1578250800,0
116,1578250800,1578254400,0
117,1578254400,1578258000,0
118,1578258000,1578261600,0
119,1578261600,1578265200,0
120,1578265200,1578268800,0
121,1578268800,1578272400,0
122,1578272400,1578276000,0
123,1578276000,1578279600,0
124,1578279600,1578283200,0
125,1578283200,1578286800,0
126,1578286800,1578290400,0
127,1578290400,1578294000,0
128,1578294000,1578297600,177
129,1578297600,1578301200,749
130,1578301200,1578304800,1899
131,1578304800,1578308400,2877
132,1578308400,1578312000,3326
133,1578312000,1578315600,3272
134,1578315600,1578319200,2758
135,1578319200,1578322800,1706
136,1578322800,1578326400,568
137,1578326400,1578330000,138
138,1578330000,1578333600,0
139,1578333600,1578337200,0
140,1578337200,1578340800,0
141,1578340800,1578344400,0
142,1578344400,1578348000,0
143,1578348000,1578351600,0
144,1578351600,1578355200,0
145,1578355200,1578358800,0
146,1578358800,1578362400,0
147,1578362400,1578366000,0
148,1578366000,1578369600,0
149,1578369600,1578373200,0
150,1578373200,1578376800,0
151,1578376800,1578380400,0
152,1578380400,1578384000,164
153,1578384000,1578387600,465
154,1578387600,1578391200,1049
155,1578391200,1578394800,1549
156,1578394800,1578398400,1937
157,1578398400,1578402000,2033
158,1578402000,1578405600,1681
159,1578405600,1578409200,985
160,1578409200,1578412800,400
161,1578412800,1578416400,170
162,1578416400,1578420000,0
163,1578420000,1578423600,0
164,1578423600,1578427200,0
165,1578427200,1578430800,0
166,1578430800,1578434400,0
167,1578434400,1578438000,0
168,1578438000,1578441600,0
169,1578441600,1578445200,0
170,1578445200,1578448800,0
171,1578448800,1578452400,0
172,1578452400,1578456000,0
173,1578456000,1578459600,0
174,1578459600,1578463200,0
175,1578463200,1578466800,0
176,1578466800,1578470400,204
177,1578470400,1578474000,692
178,1578474000,1578477600,1661
179,1578477600,1578481200,2319
180,1578481200,1578484800,2622
181,1578484800,1578488400,2650
182,1578488400,1578492000,2342
183,1578492000,1578495600,1645
184,1578495600,1578499200,677
185,1578499200,1578502800,173
186,1578502800,1578506400,0
187,1578506400,1578510000,0
188,1578510000,1578513600,0
189,1578513600,1578517200,0
190,1578517200,1578520800,0
191,1578520800,1578524400,0
192,1578524400,1578528000,0
193,1578528000,1578531600,0
194,1578531600,1578535200,0
195,1578535200,1578538800,0
196,1578538800,1578542400,0
197,1578542400,1578546000,0
198,1578546000,1578549600,0
199,1578549600,1578553200,0
200,1578553200,1578556800,182
201,1578556800,1578560400,754
202,1578560400,1578564000,1820
203,1578564000,1578567600,2765
204,1578567600,1578571200,3212
205,1578571200,1578574800,3171
206,1578574800,1578578400,2659
207,1578578400,1578582000,1699
208,1578582000,1578585600,557
209,1578585600,1578589200,137
210,1578589200,1578592800,0
211,1578592800,1578596400,0
212,1578596400,1578600000,0
213,1578600000,1578603600,0
214,1578603600,1578607200,0
215,1578607200,1578610800,0
216,1578610800,1578614400,0
217,1578614400,1578618000,0
218,1578618000,1578621600,0
219,1578621600,1578625200,0
220,1578625200,1578628800,0
221,1578628800,1578632400,0
222,1578632400,1578636000,0
223,1578636000,1578639600,0
224,1578639600,1578643200,151
225,1578643200,1578646800,409
226,1578646800,1578650400,1052
227,1578650400,1578654000,1776
228,1578654000,1578657600,2073
229,1578657600,1578661200,2131
230,1578661200,1578664800,1751
231,1578664800,1578668400,1224
232,1578668400,1578672000,538
233,1578672000,1578675600,170
234,1578675600,1578679200,0
235,1578679200,1578682800,0
236,1578682800,1578686400,0
237,1578686400,1578690000,0
238,1578690000,1578693600,0
239,1578693600,1578697200,0
240,1578697200,1578700800,0
241,1578700800,1578704400,0
242,1578704400,1578708000,0
243,1578708000,1578711600,0
244,1578711600,1578715200,0
245,1578715200,1578718800,0
246,1578718800,1578722400,0
247,1578722400,1578726000,0
248,1578726000,1578729600,210
249,1578729600,1578733200,864
250,1578733200,1578736800,2189
251,1578736800,1578740400,3261
252,1578740400,1578744000,3775
253,1578744000,1578747600,3766
254,1578747600,1578751200,3255
255,1578751200,1578754800,2216
256,1578754800,1578758400,866
257,1578758400,1578762000,184
258,1578762000,1578765600,0
259,1578765600,1578769200,0
260,1578769200,1578772800,0
261,1578772800,1578776400,0
262,1578776400,1578780000,0
263,1578780000,1578783600,0
264,1578783600,1578787200,0
265,1578787200,1578790800,0
266,1578790800,1578794400,0
267,1578794400,1578798000,0
268,1578798000,1578801600,0
269,1578801600,1578805200,0
270,1578805200,1578808800,0
271,1578808800,1578812400,0
272,1578812400,1578816000,223
273,1578816000,1578819600,945
274,1578819600,1578823200,2252
275,1578823200,1578826800,3167
276,1578826800,1578830400,3371
277,1578830400,1578834000,3298
278,1578834000,1578837600,2833
279,1578837600,1578841200,1818
280,1578841200,1578844800,685
281,1578844800,1578848400,174
282,1578848400,1578852000,0
283,1578852000,1578855600,0
284,1578855600,1578859200,0
285,1578859200,1578862800,0
286,1578862800,1578866400,0
287,1578866400,1578870000,0
288,1578870000,1578873600,0
289,1578873600,1578877200,0
290,1578877200,1578880800,0
291,1578880800,1578884400,0
292,1578884400,1578888000,0
293,1578888000,1578891600,0
294,1578891600,1578895200,0
295,1578895200,1578898800,0
296,1578898800,1578902400,211
297,1578902400,1578906000,710
298,1578906000,1578909600,1527
299,1578909600,1578913200,2282
300,1578913200,1578916800,2859
301,1578916800,1578920400,2989
302,1578920400,1578924000,2506
303,1578924000,1578927600,1620
304,1578927600,1578931200,626
305,1578931200,1578934800,184
306,1578934800,1578938400,0
307,1578938400,1578942000,0
308,1578942000,1578945600,0
309,1578945600,1578949200,0
310,1578949200,1578952800,0
311,1578952800,1578956400,0
312,1578956400,1578960000,0
313,1578960000,1578963600,0
314,1578963600,1578967200,0
315,1578967200,1578970800,0
316,1578970800,1578974400,0
317,1578974400,1578978000,0
318,1578978000,1578981600,0
319,1578981600,1578985200,0
320,1578985200,1578988800,197
321,1578988800,1578992400,661
322,1578992400,1578996000,1621
323,1578996000,1578999600,2355
324,1578999600,1579003200,2594
325,1579003200,1579006800,2676
326,1579006800,1579010400,2277
327,1579010400,1579014000,1662
328,1579014000,1579017600,724
329,1579017600,1579021200,171
330,1579021200,1579024800,0
331,1579024800,1579028400,0
332,1579028400,1579032000,0
333,1579032000,1579035600,0
334,1579035600,1579039200,0
335,1579039200,1579042800,0
336,1579042800,1579046400,0
337,1579046400,1579050000,0
338,1579050000,1579053600,0
339,1579053600,1579057200,0
340,1579057200,1579060800,0
341,1579060800,1579064400,0
342,1579064400,1579068000,0
343,1579068000,1579071600,0
344,1579071600,1579075200,169
345,1579075200,1579078800,535
346,1579078800,1579082400,1341
347,1579082400,1579086000,2094
348,1579086000,1579089600,2497
349,1579089600,1579093200,2253
350,1579093200,1579096800,1647
351,1579096800,1579100400,1077
352,1579100400,1579104000,412
353,1579104000,1579107600,147
354,1579107600,1579111200,0
355,1579111200,1579114800,0
356,1579114800,1579118400,0
357,1579118400,1579122000,0
358,1579122000,1579125600,0
359,1579125600,1579129200,0
360,1579129200,1579132800,0
361,1579132800,1579136400,0
362,1579136400,1579140000,0
363,1579140000,1579143600,0
364,1579143600,1579147200,0
365,1579147200,1579150800,0
366,1579150800,1579154400,0
367,1579154400,1579158000,0
368,1579158000,1579161600,196
369,1579161600,1579165200,916
370,1579165200,1579168800,2261
371,1579168800,1579172400,3257
372,1579172400,1579176000,3681
373,1579176000,1579179600,3627
374,1579179600,1579183200,3092
375,1579183200,1579186800,2135
376,1579186800,1579190400,863
377,1579190400,1579194000,181
378,1579194000,1579197600,0
379,1579197600,1579201200,0
380,1579201200,1579204800,0
381,1579204800,1579208400,0
382,1579208400,1579212000,0
383,1579212000,1579215600,0
384,1579215600,1579219200,0
385,1579219200,1579222800,0
386,1579222800,1579226400,0
387,1579226400,1579230000,0
388,1579230000,1579233600,0
389,1579233600,1579237200,0
390,1579237200,1579240800,0
391,1579240800,1579244400,0
392,1579244400,1579248000,163
393,1579248000,1579251600,381
394,1579251600,1579255200,764
395,1579255200,1579258800,1139
396,1579258800,1579262400,1536
397,1579262400,1579266000,1669
398,1579266000,1579269600,1530
399,1579269600,1579273200,1152
400,1579273200,1579276800,567
401,1579276800,1579280400,164
402,1579280400,1579284000,0
403,1579284000,1579287600,0
404,1579287600,1579291200,0
405,1579291200,1579294800,0
406,1579294800,1579298400,0
407,1579298400,1579302000,0
408,1579302000,1579305600,0
409,1579305600,1579309200,0
410,1579309200,1579312800,0
411,1579312800,1579316400,0
412,1579316400,1579320000,0
413,1579320000,1579323600,0
414,1579323600,1579327200,0
415,1579327200,1579330800,0
416,1579330800,1579334400,200
417,1579334400,1579338000,730
418,1579338000,1579341600,1708
419,1579341600,1579345200,2684
420,1579345200,1579348800,3459
421,1579348800,1579352400,3720
422,1579352400,1579356000,3072
423,1579356000,1579359600,2056
424,1579359600,1579363200,756
425,1579363200,1579366800,163
426,1579366800,1579370400,0
427,1579370400,1579374000,0
428,1579374000,1579377600,0
429,1579377600,1579381200,0
430,1579381200,1579384800,0
431,1579384800,1579388400,0
432,1579388400,1579392000,0
433,1579392000,1579395600,0
434,1579395600,1579399200,0
435,1579399200,1579402800,0
436,1579402800,1579406400,0
437,1579406400,1579410000,0
438,1579410000,1579413600,0
439,1579413600,1579417200,0
440,1579417200,1579420800,181
441,1579420800,1579424400,729
442,1579424400,1579428000,1891
